RowIndex,Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTGeometry,GPTEntity,GPTReasoningSummary,GPTError,GPTConfidence,RunID
10,Bomen (deel 2),Trees (part 2),https://maps.amsterdam.nl/open_geodata/?k=255,https://maps.amsterdam.nl/bomen,BOMEN_2,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents individual trees as discrete objects, each with specific attributes, using points to mark their locations.",,1.0,debug_manual_gemini
11,Bomen (deel 3),Trees (part 3),https://maps.amsterdam.nl/open_geodata/?k=256,https://maps.amsterdam.nl/bomen,BOMEN_3,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents individual trees located at specific coordinates. Each point corresponds to a physical object, making this an ObjectDS.",,1.0,debug_manual_gemini
12,Bomen (deel 4),Trees (part 4),https://maps.amsterdam.nl/open_geodata/?k=257,https://maps.amsterdam.nl/bomen,BOMEN_4,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents individual trees at specific locations. Each point is a distinct real-world object (a tree) with various descriptive attributes, which fits the ObjectDS classification.",,1.0,debug_manual_gemini
13,Buurtcompost,Neighborhood compost,https://maps.amsterdam.nl/open_geodata/?k=228,https://maps.amsterdam.nl/buurtcompost,BUURTCOMPOST,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents discrete, real-world neighborhood compost facilities, which are mapped as points. While they have numeric attributes like 'Aantal_bewoners', these are attributes of the facilities, not the primary mapping phenomenon.",,1.0,debug_manual_gemini
14,Cameragebieden,Camera areas,https://maps.amsterdam.nl/open_geodata/?k=149,https://maps.amsterdam.nl/overlast,CAMERAGEBIEDEN,PlainVectorRegion,ExistenceDS,PlainVectorRegion,PatchDS,"The layer represents selected, non-exhaustive polygons denoting specific 'camera areas' (cameragebieden), which are distinct zones rather than a partition of the city. Given the low shared boundary ratio and small number of adjacent polygons, PlainVectorRegion and PatchDS are the most appropriate classifications.",,0.95,debug_manual_gemini
15,Canadese populieren,Canadian poplars,https://maps.amsterdam.nl/open_geodata/?k=232,https://maps.amsterdam.nl/canadese_populieren,CANADESE_POPULIEREN,PointDS,ObjectDS,PointDS,ObjectDS,The dataset represents individual trees (point objects) identified by a boomnummer (tree number) and their associated maintenance measures.,,1.0,debug_manual_gemini
16,Sensoren Crowd Monitoring Systeem Amsterdam,Sensors Crowd Monitoring System Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=264,https://maps.amsterdam.nl/cmsa,CROWDSENSOREN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents distinct physical sensor installations (objects) in the city. Each point corresponds to a location where a sensor is placed, making it an ObjectDS. The geometry is PointDS as they are explicitly stored as points.",,1.0,debug_manual_gemini
17,Cultuurhistorische verkenningen,Cultural historic explorations,https://maps.amsterdam.nl/open_geodata/?k=126,https://maps.amsterdam.nl/cultuurhistorie,CULTUURHISTORIE_VERKENNINGEN,PlainVectorRegion,EventDS,PlainVectorRegion,PatchDS,The layer defines specific areas where cultural historical explorations have been conducted. These are discrete bounded areas of research interest (patches) rather than an exhaustive partition of the city (VectorTessellation) or reporting units (LatticeDS).,,0.9,debug_manual_gemini
18,Duizendknoop,Knotweed,https://maps.amsterdam.nl/open_geodata/?k=247,https://maps.amsterdam.nl/duizendknoop,DUIZENDKNOOP,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents discrete, identifiable locations of knotweed (Duizendknoop) as points. These are managed assets/objects observed at specific sites, and despite having numeric attributes like size, the primary phenomenon is the location of the plant, fitting ObjectDS.",,0.9,debug_manual_gemini
19,Ecopassages,Ecopassages,https://maps.amsterdam.nl/open_geodata/?k=63,https://maps.amsterdam.nl/ecopassages,ECOPASSAGES,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps specific, discrete locations where ecopassage facilities are located or planned. Each point represents an identifiable real-world facility or site (ObjectDS) and is defined as a point geometry.",,1.0,debug_manual_gemini
20,Energie - Potentiele gebieden windenergie,Energy - Potential areas of wind energy,https://maps.amsterdam.nl/open_geodata/?k=96,https://maps.amsterdam.nl/energie_zonwind,ENERGIE_WINDVISIE,PlainVectorRegion,AmountDS,PlainVectorRegion,PatchDS,"The layer maps specific, non-exhaustive potential areas for wind energy. These are bounded selected sites rather than a complete partition (not tessellation) or reporting units, making PatchDS the appropriate classification.",,0.9,debug_manual_gemini
21,Verkiezingen Europarlement 2019,Elections Europarliament 2019,https://maps.amsterdam.nl/open_geodata/?k=282,https://maps.amsterdam.nl/europarlement2019,EP19,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents election results at specific polling stations (stemlocaties). Each point is an identifiable facility where votes were cast. While numeric attributes are provided (vote counts and percentages), the primary entities are the facilities themselves, not an abstract quantity or statistical aggregate.",,0.9,debug_manual_gemini
22,Eikenprocessierups (nesten),Oak processionary caterpillar (nesting),https://maps.amsterdam.nl/open_geodata/?k=67,https://maps.amsterdam.nl/eikenprocessierups,EPR_NESTEN,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents locations of oak processionary caterpillar nests in individual trees, which are distinct real-world objects/assets. Each point corresponds to a tree (Boom_ID), making it an ObjectDS.",,0.9,debug_manual_gemini
23,Fietstaxi - gebieden,Pedicabs - areas,https://maps.amsterdam.nl/open_geodata/?k=140,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI,PlainVectorRegion,PatchDS,PlainVectorRegion,PatchDS,"The polygons represent specific zones where pedicab rules apply, rather than a full partition of the city. Low shared boundary ratios and adjacency indicate discrete patches rather than a tessellation.",,0.9,debug_manual_gemini
24,Fietstaxi - standplaatsen,Pedicabs - pitches,https://maps.amsterdam.nl/open_geodata/?k=141,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI_STANDPLAATSEN,PointDS,ObjectDS,PointDS,ObjectDS,"The layer maps specific, countable locations (pitches/standplaatsen) for pedicabs and carriages as distinct assets or facilities, which is classified as ObjectDS under the point geometry rules.",,1.0,debug_manual_gemini
25,Niet-woonfuncties (Functiekaart),Non-residential functions (Function Map),https://maps.amsterdam.nl/open_geodata/?k=49,https://maps.amsterdam.nl/functiekaart,FUNCTIEKAART,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents discrete non-residential facilities (points) at specific addresses. Each point represents a distinct real-world object (building usage/function), making it an ObjectDS.",,1.0,debug_manual_gemini
26,Functiemix,Function mix,https://maps.amsterdam.nl/open_geodata/?k=310,https://maps.amsterdam.nl/functiemix,FUNCTIEMIX,PlainVectorRegion,PatchDS;AmountDS,PlainVectorRegion,CoverageDS,"The dataset represents a thematic functional mix classification (Wonen, Voorzieningen, Werken) across the city. While it has many polygons, the low shared_boundary_ratio and low convex_hull_fill_ratio suggest these are distinct block-level features rather than a contiguous administrative partition, making PlainVectorRegion appropriate. The entity is classified as CoverageDS because it provides an exhaustive thematic categorization of city functions.",,0.9,debug_manual_gemini
27,Wijken,Neighborhoods,https://maps.amsterdam.nl/open_geodata/?k=200,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTCOMBINATIES,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents administrative neighborhood combinations ('Buurtcombinaties') that partition the study area. These are typical reporting/statistical units, which matches the criteria for LatticeDS.",,1.0,debug_manual_gemini
28,Wijken excl.water,Neighborhoods excl.water,https://maps.amsterdam.nl/open_geodata/?k=201,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTCOMBINATIES_EXWATER,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents neighborhood areas which act as administrative and statistical reporting units. High shared boundary ratio and topological hints indicate a complete partition, confirming VectorTessellation for Geometry and LatticeDS for Entity.",,0.95,debug_manual_gemini
29,Buurten,Neighborhoods,https://maps.amsterdam.nl/open_geodata/?k=198,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTEN,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The layer consists of neighborhood boundaries covering Amsterdam, which represents a complete administrative partition of the area. As these are reporting units for spatial data, they are classified as LatticeDS.",,1.0,debug_manual_gemini
30,Buurten excl.water,Neighborhoods excl.water,https://maps.amsterdam.nl/open_geodata/?k=199,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTEN_EXWATER,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The layer consists of neighborhood boundaries (buurten) in Amsterdam. Given the high shared boundary ratio and adjacency counts, it forms a complete administrative partition of the area. It is classified as LatticeDS because these are statistical reporting units.",,1.0,debug_manual_gemini
31,Stadsdelen,City districts,https://maps.amsterdam.nl/open_geodata/?k=202,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_STADSDELEN,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents Amsterdam city districts (Stadsdelen), which partition the study area into administrative units. These function as reporting units for geographical data, fitting the criteria for VectorTessellation and LatticeDS.",,1.0,debug_manual_gemini
32,Stadsdelen excl.water,City districts excl.water,https://maps.amsterdam.nl/open_geodata/?k=203,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_STADSDELEN_EXWATER,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents city districts (stadsdelen), which are administrative partition units. These administrative units partition the Amsterdam study area, falling under the definition of a tessellation and being used as lattice units for area-based classification.",,0.9,debug_manual_gemini
33,22 Gebieden,22 Areas,https://maps.amsterdam.nl/open_geodata/?k=204,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN22,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The layer represents 22 formal administrative areas (districts) of Amsterdam that partition the study area. These function as reporting units for administrative data, qualifying it as a LatticeDS with VectorTessellation geometry.",,1.0,debug_manual_gemini
34,22 Gebieden excl.water,22 Areas excluding water,https://maps.amsterdam.nl/open_geodata/?k=205,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN22_EXWATER,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents administrative areas (Gebieden) of Amsterdam that partition the study area. These units serve as a basis for reporting and statistical analysis, meeting the criteria for VectorTessellation and LatticeDS.",,1.0,debug_manual_gemini
35,25 Praktijkgebieden,25 Practice areas,https://maps.amsterdam.nl/open_geodata/?k=268,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN25,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents 25 'practice areas' in Amsterdam which act as administrative or statistical sub-divisions of the city. High shared boundary ratios and adjacency indicate a complete partition of the territory, fitting the criteria for VectorTessellation and LatticeDS.",,1.0,debug_manual_gemini
36,25 Praktijkgebieden excl.water,25 Practice areas excluding water,https://maps.amsterdam.nl/open_geodata/?k=269,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN25_EXWATER,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents a set of predefined 'practice areas' (gebieden) that partition the study area into statistical or functional units, supported by the high shared_boundary_ratio and the administrative nature of the areas, making it a LatticeDS represented as a VectorTessellation.",,0.95,debug_manual_gemini
37,Geluidscontouren industrie,Noise contours industry,https://maps.amsterdam.nl/open_geodata/?k=263,https://maps.amsterdam.nl/geluid2,GELUID_INDUSTRIE,PlainVectorRegion,ContourDS,PlainVectorRegion,ContourDS,"The layer represents noise intensity bands (e.g., 50DB) as discrete polygons around industrial areas. Since these represent intervals/bands of noise levels, ContourDS is the appropriate entity. The topology suggests these are discrete feature sets rather than a continuous study-area-wide tessellation, justifying PlainVectorRegion.",,0.95,debug_manual_gemini
38,Geluidscontouren luchtvaart,Noise contours air traffic,https://maps.amsterdam.nl/open_geodata/?k=252,https://maps.amsterdam.nl/geluid,GELUID_LUCHTVAART_LDEN,PlainVectorRegion,ContourDS,PlainVectorRegion,ContourDS,"The dataset represents air traffic noise level zones. Since these are discrete bands (intervals) denoting noise decibel ranges, they classify as ContourDS. The geometry is PlainVectorRegion as they are nested bands rather than an exhaustive surface partition (tessellation).",,0.95,debug_manual_gemini
39,Geluidscontouren verkeer (deel 1),Noise contours traffic (part 1),https://maps.amsterdam.nl/open_geodata/?k=267,https://maps.amsterdam.nl/geluid1,GELUID_VERKEER,PlainVectorRegion,ContourDS,PlainVectorRegion,ContourDS,"The dataset represents noise contours (dB intervals) which are inherently interval/band representations of a field, classifying it as ContourDS. While the geometry has a high shared boundary ratio, these are distinct zones or bands around noise sources rather than an exhaustive partition of the city, supporting PlainVectorRegion.",,0.9,debug_manual_gemini
40,Geluidscontouren verkeer (deel 2),Noise contours traffic (part 2),https://maps.amsterdam.nl/open_geodata/?k=134,https://maps.amsterdam.nl/geluid,GELUID_VERKEER_2,PlainVectorRegion,ContourDS,PlainVectorRegion,ContourDS,"The dataset represents noise contours (interval bands of decibel levels). While the shared boundary ratio is high, these polygons represent discrete noise zones rather than a complete partition of the city, making ContourDS the best entity fit.",,0.9,debug_manual_gemini
41,Verkiezingen Gemeenteraad 2018,Elections Municipality 2018,https://maps.amsterdam.nl/open_geodata/?k=250,https://maps.amsterdam.nl/gemeenteraad2018,GEMEENTERAAD2018,PointDS,ObjectDS,PointDS,ObjectDS,"The layer contains point locations of polling stations (stembureaus) which serve as physical facilities or objects for the election. Although they contain many numeric attributes related to election results, these points primarily represent the locations themselves rather than just an amount or measurement.",,0.9,debug_manual_gemini
42,Groene daken,Green roofs,https://maps.amsterdam.nl/open_geodata/?k=51,https://maps.amsterdam.nl/groene_daken,GROENE_DAKEN,PointDS,ObjectDS,PointDS,ObjectDS,"The layer represents green roof installations as points. Each point is a distinct real-world facility or asset with specific attributes like address and roof type, making it an ObjectDS.",,1.0,debug_manual_gemini
43,Grondgebruik 2017,Land use 2017,https://maps.amsterdam.nl/open_geodata/?k=152,https://maps.amsterdam.nl/grondgebruik,GRONDGEBRUIK_2017,VectorTessellation,CoverageDS,VectorTessellation,CoverageDS,"The dataset represents a complete partition of the land area of Amsterdam into distinct land-use categories, which characterizes a coverage thematic map. The topology metrics (high shared boundary ratio and high adjacency) support a tessellation geometry.",,1.0,debug_manual_gemini
44,Historische bebouwing,Historical buildings,https://maps.amsterdam.nl/open_geodata/?k=118,https://maps.amsterdam.nl/archeologie,HISTORISCHE_BEBOUWING,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents historical building locations as points. Each point corresponds to a distinct, identifiable historical facility or structure, making ObjectDS the most appropriate classification.",,1.0,debug_manual_gemini
45,Hoe groot is Amsterdam,How big is Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=166,https://maps.amsterdam.nl/hoegroot,HOEGROOT,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents a small set of identifiable municipal boundaries (Amsterdam's scale). With only 3 features, these are distinct objects rather than a partitioning lattice or coverage of a larger study area.",,0.9,debug_manual_gemini
46,Honden uitren- en verbodsgebieden,Dogs run and ban areas,https://maps.amsterdam.nl/open_geodata/?k=245,https://maps.amsterdam.nl/honden,HONDEN,PlainVectorRegion,PatchDS,PlainVectorRegion,PatchDS,"The polygons represent specific areas where dog-related restrictions or freedoms apply, making them patches rather than a full-area coverage or reporting units. The low shared_boundary_ratio and low convex_hull_fill_ratio confirm it as PlainVectorRegion.",,0.9,debug_manual_gemini
47,Hoofdgroenstructuur (HGS),Main Green Structure,https://maps.amsterdam.nl/open_geodata/?k=55,https://maps.amsterdam.nl/hoofdgroenstructuur,HOOFDGROENSTRUCTUUR,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset contains polygons representing discrete, named green areas (parks, cemeteries, sport parks) that act as identifiable real-world objects rather than covering the city as a complete tessellation or reporting-unit lattice.",,0.9,debug_manual_gemini
48,Iepen particulier,Elm trees - private,https://maps.amsterdam.nl/open_geodata/?k=330,https://maps.amsterdam.nl/iepen,IEPEN_PARTICULIER,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual elm trees (real-world objects) as point locations. The attributes describe the characteristics of these specific trees, not aggregate metrics or continuous measurements.",,1.0,debug_manual_gemini
49,Jongeren- en Studentenhuisvesting,Youth and Student Housing,https://maps.amsterdam.nl/open_geodata/?k=115,https://maps.amsterdam.nl/jongerenstudentenhuisvesting,JONGERENSTUDENTENHUISVESTING,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual student and youth housing facilities as points. Each point represents a distinct real-world housing complex (an object), and the presence of numeric attributes like 'Aantal_woningen' does not change the entity type to AmountDS, as these are descriptive attributes of the facility objects.",,1.0,debug_manual_gemini
50,Kastanjebloedingsziekte,Chestnut bleeding disorder,https://maps.amsterdam.nl/open_geodata/?k=93,https://maps.amsterdam.nl/kastanjes,KASTANJES,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual chestnut trees as points, which are discrete real-world objects. The 'Aantasting' and 'Kastanjesoort' fields provide attributes for these objects.",,1.0,debug_manual_gemini
51,Klimaat - Droogte,Climate - Drought,https://maps.amsterdam.nl/open_geodata/?k=317,https://maps.amsterdam.nl/klimaatadaptatie,KLIMAAT_DROOGTE,PointDS,PointMeasuresDS,PointDS,PointMeasuresDS,"The dataset contains point locations representing groundwater level measurements (GLG) and surface level (Maaiveld), which are sampling continuous environmental phenomena.",,1.0,debug_manual_gemini
52,Klimaat - Overstroming,Climate - Flood,https://maps.amsterdam.nl/open_geodata/?k=318,https://maps.amsterdam.nl/klimaatadaptatie,KLIMAAT_OVERSTROMING,VectorTessellation,CoverageDS,VectorTessellation,CoverageDS,"The layer represents a flood hazard map dividing the area into distinct categorical zones based on probability and depth, forming a spatial coverage. The topology hints strongly support a VectorTessellation.",,0.9,debug_manual_gemini
53,Markten,Markets,https://maps.amsterdam.nl/open_geodata/?k=123,https://maps.amsterdam.nl/markten,MARKTEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual marketplace locations in Amsterdam as point entities, each associated with specific details like operating hours, making it an ObjectDS.",,1.0,debug_manual_gemini
54,Groene monumenten,Green monuments,https://maps.amsterdam.nl/open_geodata/?k=68,https://maps.amsterdam.nl/monumentaal_groen,MONUMENTAAL_GROEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents distinct, named real-world assets (green monuments) as points, classifying it as ObjectDS under the PointDS geometry.",,1.0,debug_manual_gemini
55,Monumentale bomen,Monumental trees,https://maps.amsterdam.nl/open_geodata/?k=59,https://maps.amsterdam.nl/monumentaal_groen,MONUMENTALE_BOMEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset represents individual monumental trees as point locations, which are discrete, identifiable real-world objects.",,1.0,debug_manual_gemini
56,Monumenten,Monuments,https://maps.amsterdam.nl/open_geodata/?k=155,https://maps.amsterdam.nl/monumenten,MONUMENTEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps individual monuments as points, which are discrete, identifiable real-world objects. While it contains attributes like monument numbers, these are identification markers for the objects themselves rather than the primary mapped phenomenon.",,1.0,debug_manual_gemini
57,Muurplanten,Quay wall plants,https://maps.amsterdam.nl/open_geodata/?k=106,https://maps.amsterdam.nl/muurplanten,MUURPLANTEN,PointDS,ObjectDS,PointDS,ObjectDS,The dataset maps individual plant occurrences on quay walls as points. These are treated as discrete objects (plant records) with associated taxonomic and location attributes.,,0.9,debug_manual_gemini
58,NO2 metingen 4-weken,NO2 measurements 4 weeks,https://maps.amsterdam.nl/open_geodata/?k=331,https://maps.amsterdam.nl/no2,NO2_4WEKEN,PointDS,PointMeasuresDS,PlainVectorRegion,ObjectDS,"The dataset represents NO2 monitoring locations as polygons (which likely represent the immediate buffer or station area), where each feature is a distinct, identified object with its own multi-temporal measurement history.",,0.9,debug_manual_gemini
59,NO2 metingen locaties,NO2 measurements locations,https://maps.amsterdam.nl/open_geodata/?k=308,https://maps.amsterdam.nl/no2,NO2_LOCATIES,PointDS,ObjectDS,PointDS,PointMeasuresDS,"The dataset contains point locations for NO2 monitoring stations. These function as sampling points for continuous environmental measurements, fitting the PointMeasuresDS classification.",,0.9,debug_manual_gemini
60,Oergeul,Primeval gulch,https://maps.amsterdam.nl/open_geodata/?k=242,https://maps.amsterdam.nl/oergeul,OERGEUL,PlainVectorRegion,PatchDS,PlainVectorRegion,PatchDS,"The layer represents discrete geological features (primeval gulches) as identified polygons. The low shared_boundary_ratio and low convex_hull_fill_ratio indicate these are isolated patches rather than an exhaustive area coverage or tessellation, leading to a PatchDS classification.",,0.9,debug_manual_gemini
61,Oergeul - sonderingen,Primeval gulch - soundings,https://maps.amsterdam.nl/open_geodata/?k=243,https://maps.amsterdam.nl/oergeul,OERGEUL_SONDERINGEN,PointDS,PointMeasuresDS;EventDS,PointDS,PointMeasuresDS,"The dataset represents soil soundings (sonderingen) at specific locations, used to measure geological parameters such as the depth to the Pleistocene layer. As these points sample continuous subsurface phenomena, they are classified as PointMeasuresDS.",,0.9,debug_manual_gemini
62,Ontwikkelbuurten,Development neighbourhoods,https://maps.amsterdam.nl/open_geodata/?k=279,https://maps.amsterdam.nl/ontwikkelbuurten,ONTWIKKELBUURTEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,PatchDS,"The dataset contains polygons representing specific 'development neighbourhoods' (Ontwikkelbuurten). Topology hints indicate these are isolated or scattered polygons rather than a partition of the whole city, thus PatchDS is the most appropriate entity, and PlainVectorRegion the geometry.",,0.9,debug_manual_gemini
63,Openbare toiletten,Public toilets,https://maps.amsterdam.nl/open_geodata/?k=240,https://maps.amsterdam.nl/openbare_toiletten,OPENBARE_TOILETTEN,PointDS,ObjectDS,PointDS,ObjectDS,"The dataset maps public toilet facilities as discrete points, which are identifiable real-world objects. Numeric attributes like price do not make it an AmountDS as the primary phenomenon is the location of the facilities.",,1.0,debug_manual_gemini
64,Overnachtingsbeleid,Overnight policy,https://maps.amsterdam.nl/open_geodata/?k=227,https://maps.amsterdam.nl/overnachtingsbeleid,OVERNACHTINGSBELEID,VectorTessellation,CoverageDS,VectorTessellation,CoverageDS,"The layer maps specific policy areas (overnight/hotel policy) that form a segmented partition of the urban area. The high shared boundary ratio and topological hints support VectorTessellation, and the content represents a thematic classification of area-wide policy categories, making CoverageDS the best fit.",,0.9,debug_manual_gemini
65,Parkeernormen Auto,Parking standards Cars,https://maps.amsterdam.nl/open_geodata/?k=239,https://maps.amsterdam.nl/parkeernormen,PARKEERNORMEN,VectorTessellation,CoverageDS,VectorTessellation,CoverageDS,"The layer represents a complete spatial partition of parking standard zones ('A', 'B', 'C') for the city, functioning as an area-wide thematic coverage layer. The topology indicates a high shared boundary ratio supporting VectorTessellation.",,0.95,debug_manual_gemini
66,"Parken, plantsoenen en recreatief groen",City parks en public green,https://maps.amsterdam.nl/open_geodata/?k=99,https://maps.amsterdam.nl/stadsparken,PARKPLANTSOENGROEN,PlainVectorRegion,ObjectDS,PlainVectorRegion,ObjectDS,"The dataset represents distinct, named parks and green spaces. The low shared boundary ratio and low convex hull fill ratio confirm these are discrete, non-exhaustive polygons, making them identifiable real-world objects.",,1.0,debug_manual_gemini
67,Postcode4-buurten,Zipcode4 shapes,https://maps.amsterdam.nl/open_geodata/?k=192,https://maps.amsterdam.nl/postcode,PC4_BUURTEN,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset maps postcode areas which form a complete partition of the study area, consistent with the definition of VectorTessellation and LatticeDS for reporting/statistical units.",,1.0,debug_manual_gemini
68,Postcode4-buurten excl. water,Zipcode4 shapes excl. water,https://maps.amsterdam.nl/open_geodata/?k=193,https://maps.amsterdam.nl/postcode,PC4_BUURTEN_EXWATER,VectorTessellation,LatticeDS,VectorTessellation,LatticeDS,"The dataset represents 4-digit postcode areas (PC4) which function as statistical/administrative units partitioning the study area. These units are used to associate attributes like area size, fitting the definition of a LatticeDS.",,0.9,debug_manual_gemini
