Title,EnglishTitle,PageLink,MapLink,Kaartlaag,Geometry,Entity,GPTConfidence,GPTReasoningSummary,GPTError
Bomen (deel 2),Trees (part 2),https://maps.amsterdam.nl/open_geodata/?k=255,https://maps.amsterdam.nl/bomen,BOMEN_2,PointDS,ObjectDS,0.99,"The layer contains 70,000 point features, each with a unique Boomnummer and tree species/attributes, so it represents identifiable real-world objects (trees).",
Bomen (deel 3),Trees (part 3),https://maps.amsterdam.nl/open_geodata/?k=256,https://maps.amsterdam.nl/bomen,BOMEN_3,PointDS,ObjectDS,0.99,"The layer contains 70,000 point features representing individual trees with unique IDs, species, height, ownership, and plant year. These are distinct real-world objects, not measurements or events.",
Bomen (deel 4),Trees (part 4),https://maps.amsterdam.nl/open_geodata/?k=257,https://maps.amsterdam.nl/bomen,BOMEN_4,PointDS,ObjectDS,0.99,"The layer contains point features for individual trees, each with an ID and attributes like species, height, owner, and planting year. These are distinct real-world objects rather than measurements or areas.",
Buurtcompost,Neighborhood compost,https://maps.amsterdam.nl/open_geodata/?k=228,https://maps.amsterdam.nl/buurtcompost,BUURTCOMPOST,PointDS,ObjectDS,0.98,"The layer consists of 86 point features marking neighborhood compost locations. Each point is a distinct real-world place/site with identifying attributes like street name, initiator, and start year, so ObjectDS fits best.",
Cameragebieden,Camera areas,https://maps.amsterdam.nl/open_geodata/?k=149,https://maps.amsterdam.nl/overlast,CAMERAGEBIEDEN,PlainVectorRegion,PatchDS,0.93,"The layer contains Polygon/MultiPolygon regions named as camera areas. These are bounded designated zones, not a full tessellation or statistical units, so PatchDS fits best.",
Canadese populieren,Canadian poplars,https://maps.amsterdam.nl/open_geodata/?k=232,https://maps.amsterdam.nl/canadese_populieren,CANADESE_POPULIEREN,PointDS,ObjectDS,0.99,"The layer contains point features for individual trees, identified by unique Boomnummer and species fields. This is a set of distinct real-world objects, not measurements or areas.",
Sensoren Crowd Monitoring Systeem Amsterdam,Sensors Crowd Monitoring System Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=264,https://maps.amsterdam.nl/cmsa,CROWDSENSOREN,PointDS,ObjectDS,0.99,"The layer consists of 96 Point features marking individual crowd sensors/cameras in Amsterdam. Each point is a distinct identifiable real-world device with properties like object number, type, power supply, and active status.",
Cultuurhistorische verkenningen,Cultural historic explorations,https://maps.amsterdam.nl/open_geodata/?k=126,https://maps.amsterdam.nl/cultuurhistorie,CULTUURHISTORIE_VERKENNINGEN,PlainVectorRegion,PatchDS,0.97,"The layer contains polygon/multipolygon area features for named cultural-historical investigation zones. These are bounded selected areas, not a full tessellation or statistical reporting units, so PatchDS fits best.",
Duizendknoop,Knotweed,https://maps.amsterdam.nl/open_geodata/?k=247,https://maps.amsterdam.nl/duizendknoop,DUIZENDKNOOP,PointDS,ObjectDS,0.95,"The layer contains 717 point features marking knotweed locations, with species/type and photos as attributes. These are identifiable real-world occurrence points rather than measurements or counts.",
Ecopassages,Ecopassages,https://maps.amsterdam.nl/open_geodata/?k=63,https://maps.amsterdam.nl/ecopassages,ECOPASSAGES,PointDS,ObjectDS,0.98,The layer is a FeatureCollection of Point geometries marking specific ecopassage sites/road-crossing problem locations. Each point represents a distinct real-world infrastructure/object-like location rather than a measurement or event.,
Energie - Potentiele gebieden windenergie,Energy - Potential areas of wind energy,https://maps.amsterdam.nl/open_geodata/?k=96,https://maps.amsterdam.nl/energie_zonwind,ENERGIE_WINDVISIE,PlainVectorRegion,PatchDS,0.94,"The layer contains Polygon/MultiPolygon regions showing potential wind energy areas. These are bounded selected areas, not a full tessellated field; attributes give capacity and expected yield for each area.",
Verkiezingen Europarlement 2019,Elections Europarliament 2019,https://maps.amsterdam.nl/open_geodata/?k=282,https://maps.amsterdam.nl/europarlement2019,EP19,PointDS,ObjectDS,0.98,"The layer contains point features for election polling places (Stemlocatie) with district/election results attached. Each point is a distinct real-world voting location, so PointDS + ObjectDS fits best.",
Eikenprocessierups (nesten),Oak processionary caterpillar (nesting),https://maps.amsterdam.nl/open_geodata/?k=67,https://maps.amsterdam.nl/eikenprocessierups,EPR_NESTEN,PointDS,ObjectDS,0.97,"The layer consists of 4901 point features, each tied to a specific tree/nest record via Boom_ID and attributes like priority, height, and mutation date. These are identifiable real-world objects/occurrences mapped as points.",
Fietstaxi - gebieden,Pedicabs - areas,https://maps.amsterdam.nl/open_geodata/?k=140,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI,PlainVectorRegion,ExistenceDS,0.96,"The layer contains Polygon areas, and the attributes indicate where pedicabs are allowed or forbidden in specific zones/times, i.e. a bounded presence/absence-style area map rather than objects or measurements.",
Fietstaxi - standplaatsen,Pedicabs - pitches,https://maps.amsterdam.nl/open_geodata/?k=141,https://maps.amsterdam.nl/fietstaxi,FIETSTAXI_STANDPLAATSEN,PointDS,ObjectDS,0.98,"The layer contains point features marking pedicab and coach stand locations (standplaatsen), which are discrete real-world places with identity rather than measurements or events.",
Niet-woonfuncties (Functiekaart),Non-residential functions (Function Map),https://maps.amsterdam.nl/open_geodata/?k=49,https://maps.amsterdam.nl/functiekaart,FUNCTIEKAART,PointDS,ObjectDS,0.97,"The layer contains Point geometries for individual non-residential locations/buildings, each with an address and function category, so these are identifiable real-world objects.",
Functiemix,Function mix,https://maps.amsterdam.nl/open_geodata/?k=310,https://maps.amsterdam.nl/functiemix,FUNCTIEMIX,PlainVectorRegion,LatticeDS,0.95,"The layer consists of polygon/multipolygon regions tied to block/street codes with aggregated counts and percentages for housing, amenities, and work. This is a reporting-zone style regional classification, best fit as a lattice dataset.",
Wijken,Neighborhoods,https://maps.amsterdam.nl/open_geodata/?k=200,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTCOMBINATIES,PlainVectorRegion,ObjectDS,0.97,"The layer contains 99 Polygon features representing named neighborhoods/buurtcombinaties with codes and area, so it is a region layer of identifiable bounded real-world units.",
Wijken excl.water,Neighborhoods excl.water,https://maps.amsterdam.nl/open_geodata/?k=201,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTCOMBINATIES_EXWATER,PlainVectorRegion,LatticeDS,0.92,"The layer consists of polygon/multipolygon neighborhood boundaries with codes, names, and area values (Opp_m2). These are object-like reporting zones rather than a full tessellated categorical field, so PlainVectorRegion with LatticeDS is the best fit.",
Buurten,Neighborhoods,https://maps.amsterdam.nl/open_geodata/?k=198,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTEN,PlainVectorRegion,PatchDS,0.98,"The layer contains Polygon neighborhood boundaries (Buurten), which are bounded administrative areas rather than a full tessellation field. Each polygon is a named neighborhood with identity and area metadata, so PatchDS fits best.",
Buurten excl.water,Neighborhoods excl.water,https://maps.amsterdam.nl/open_geodata/?k=199,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_BUURTEN_EXWATER,PlainVectorRegion,ObjectDS,0.97,"The layer contains polygon and multipolygon neighborhood boundaries with named codes/names and area attributes, indicating identifiable bounded real-world areas rather than a continuous field or simple coverage.",
Stadsdelen,City districts,https://maps.amsterdam.nl/open_geodata/?k=202,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_STADSDELEN,PlainVectorRegion,PatchDS,0.97,"The layer contains Polygon regions for Amsterdam city districts, which are bounded administrative areas. These are designated areas rather than measurements or a full categorical tessellation, so PatchDS fits best.",
Stadsdelen excl.water,City districts excl.water,https://maps.amsterdam.nl/open_geodata/?k=203,https://maps.amsterdam.nl/gebiedsindeling,GEBIED_STADSDELEN_EXWATER,PlainVectorRegion,LatticeDS,0.95,"The layer contains Polygon/MultiPolygon district boundaries for Amsterdam city districts, i.e. bounded administrative regions with identity and an area attribute (Opp_m2). This best fits region geometry with a lattice-style reporting unit interpretation.",
22 Gebieden,22 Areas,https://maps.amsterdam.nl/open_geodata/?k=204,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN22,PlainVectorRegion,LatticeDS,0.98,"The layer contains polygon regions for named Amsterdam areas with area codes and surface size (Opp_m2). These are bounded reporting units rather than thematic coverage or object points, so PlainVectorRegion with LatticeDS fits best.",
22 Gebieden excl.water,22 Areas excluding water,https://maps.amsterdam.nl/open_geodata/?k=205,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN22_EXWATER,PlainVectorRegion,LatticeDS,0.98,"The layer contains Polygon/MultiPolygon area features for Amsterdam regions with names/codes and area totals (Opp_m2). These are reporting units representing whole spatial areas, so PlainVectorRegion with LatticeDS best fits.",
25 Praktijkgebieden,25 Practice areas,https://maps.amsterdam.nl/open_geodata/?k=268,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN25,PlainVectorRegion,PatchDS,0.92,"The layer contains Polygon/MultiPolygon practice area boundaries with named areas and area size attributes, indicating bounded administrative-like regions rather than a full tessellation or simple coverage field.",
25 Praktijkgebieden excl.water,25 Practice areas excluding water,https://maps.amsterdam.nl/open_geodata/?k=269,https://maps.amsterdam.nl/gebiedsindeling,GEBIEDEN25_EXWATER,PlainVectorRegion,LatticeDS,0.96,"The layer consists of named polygon/multipolygon administrative practice areas with area attributes (Opp_m2), so it is a region dataset of reporting units rather than a continuous field.",
Geluidscontouren industrie,Noise contours industry,https://maps.amsterdam.nl/open_geodata/?k=263,https://maps.amsterdam.nl/geluid2,GELUID_INDUSTRIE,PlainVectorRegion,ContourDS,0.98,"The layer contains Polygon/MultiPolygon regions labeled with noise levels like 50DB, indicating contour/band areas for industrial noise rather than filled administrative units or discrete objects.",
Geluidscontouren luchtvaart,Noise contours air traffic,https://maps.amsterdam.nl/open_geodata/?k=252,https://maps.amsterdam.nl/geluid,GELUID_LUCHTVAART_LDEN,PlainVectorRegion,ContourDS,0.98,"The layer uses polygon regions representing noise bands (55-60 dB, 60-65 dB, etc.), which are isoline-style contour areas rather than objects or coverage fields.",
Geluidscontouren verkeer (deel 1),Noise contours traffic (part 1),https://maps.amsterdam.nl/open_geodata/?k=267,https://maps.amsterdam.nl/geluid1,GELUID_VERKEER,PlainVectorRegion,ContourDS,0.99,"The layer consists of polygon/multipolygon noise bands labeled by dB classes, which are classic contour/isoline regions rather than full tessellated coverage or object areas.",
Geluidscontouren verkeer (deel 2),Noise contours traffic (part 2),https://maps.amsterdam.nl/open_geodata/?k=134,https://maps.amsterdam.nl/geluid,GELUID_VERKEER_2,PlainVectorRegion,ContourDS,0.98,"The layer consists of polygon/multipolygon noise zones with dB classes and contour-like bands, so it is a region layer representing interval contours of a continuous field.",
Verkiezingen Gemeenteraad 2018,Elections Municipality 2018,https://maps.amsterdam.nl/open_geodata/?k=250,https://maps.amsterdam.nl/gemeenteraad2018,GEMEENTERAAD2018,PointDS,ObjectDS,0.98,"The layer contains point features for election polling locations (Stembureau/Stemlocatie). Each point is a distinct real-world place, with associated vote counts and percentages as attributes.",
Groene daken,Green roofs,https://maps.amsterdam.nl/open_geodata/?k=51,https://maps.amsterdam.nl/groene_daken,GROENE_DAKEN,PointDS,ObjectDS,0.98,"The layer contains point features for individual green roof locations, each representing a distinct real-world site/address with attributes like type, area, and year installed.",
Grondgebruik 2017,Land use 2017,https://maps.amsterdam.nl/open_geodata/?k=152,https://maps.amsterdam.nl/grondgebruik,GRONDGEBRUIK_2017,PlainVectorRegion,PatchDS,0.96,"Polygon features represent land-use areas classified by category codes, so this is a region layer of bounded homogeneous patches rather than a full tessellation or reporting units.",
Historische bebouwing,Historical buildings,https://maps.amsterdam.nl/open_geodata/?k=118,https://maps.amsterdam.nl/archeologie,HISTORISCHE_BEBOUWING,PointDS,ObjectDS,0.98,"The layer contains Point geometries for individual historical buildings and related structures, each with a unique name/function and temporal attributes, so it best fits identifiable real-world objects.",
Hoe groot is Amsterdam,How big is Amsterdam,https://maps.amsterdam.nl/open_geodata/?k=166,https://maps.amsterdam.nl/hoegroot,HOEGROOT,PlainVectorRegion,LatticeDS,0.93,"The layer contains polygon/multipolygon regions with an administrative ID field, suggesting discrete reporting areas rather than point or line features. This fits a region-based spatial unit dataset, best labeled as a lattice of municipal areas.",
Honden uitren- en verbodsgebieden,Dogs run and ban areas,https://maps.amsterdam.nl/open_geodata/?k=245,https://maps.amsterdam.nl/honden,HONDEN,PlainVectorRegion,PatchDS,0.96,"The layer is a polygon feature collection of dog run and prohibition areas. These are bounded designated regions with gaps/overlaps possible, representing selected areas of use/restriction rather than a full tessellated field or reporting units.",
Hoofdgroenstructuur (HGS),Main Green Structure,https://maps.amsterdam.nl/open_geodata/?k=55,https://maps.amsterdam.nl/hoofdgroenstructuur,HOOFDGROENSTRUCTUUR,PlainVectorRegion,PatchDS,0.97,"The layer contains polygon area features for named green-structure areas in Amsterdam, with boundaries and area values. These are bounded designated patches rather than a full tessellated field or statistical units.",
Iepen particulier,Elm trees - private,https://maps.amsterdam.nl/open_geodata/?k=330,https://maps.amsterdam.nl/iepen,IEPEN_PARTICULIER,PointDS,ObjectDS,0.98,"The layer contains point features marking individual elm trees ('Iepen particulier'). Each point is a distinct real-world tree with identifying attributes like species, planting year, trunk diameter, and height.",
Jongeren- en Studentenhuisvesting,Youth and Student Housing,https://maps.amsterdam.nl/open_geodata/?k=115,https://maps.amsterdam.nl/jongerenstudentenhuisvesting,JONGERENSTUDENTENHUISVESTING,PointDS,ObjectDS,0.97,"The layer contains 128 point features marking individual youth/student housing locations. Each point is a distinct real-world site with a name, address, owner, status, and number of units, so it best fits ObjectDS.",
Kastanjebloedingsziekte,Chestnut bleeding disorder,https://maps.amsterdam.nl/open_geodata/?k=93,https://maps.amsterdam.nl/kastanjes,KASTANJES,PointDS,ObjectDS,0.98,"The layer contains 5,159 Point features representing individual chestnut trees with species and damage status, so this is a point map of identifiable real-world objects.",
Klimaat - Droogte,Climate - Drought,https://maps.amsterdam.nl/open_geodata/?k=317,https://maps.amsterdam.nl/klimaatadaptatie,KLIMAAT_DROOGTE,PointDS,PointMeasuresDS,0.98,"The layer contains Point geometries and each point has numeric drought-related measurements (e.g., Maaiveld, GLG, GLG_maaiveld), so it represents sampled measurements at locations.",
Klimaat - Overstroming,Climate - Flood,https://maps.amsterdam.nl/open_geodata/?k=318,https://maps.amsterdam.nl/klimaatadaptatie,KLIMAAT_OVERSTROMING,PlainVectorRegion,CoverageDS,0.96,"The layer is polygon-based and shows flood risk classes across areas, with categorical probability and depth bands covering regions rather than discrete objects or counts.",
Markten,Markets,https://maps.amsterdam.nl/open_geodata/?k=123,https://maps.amsterdam.nl/markten,MARKTEN,PointDS,ObjectDS,0.98,"The layer contains 45 point features marking market locations such as Albert Cuypmarkt and Waterlooplein. Each point is a distinct named real-world market, so ObjectDS fits best.",
Groene monumenten,Green monuments,https://maps.amsterdam.nl/open_geodata/?k=68,https://maps.amsterdam.nl/monumentaal_groen,MONUMENTAAL_GROEN,PointDS,ObjectDS,0.98,"The layer contains 14 Point features for named green monuments/parks with identifiers and registration links, so each point represents a distinct real-world object.",
Monumentale bomen,Monumental trees,https://maps.amsterdam.nl/open_geodata/?k=59,https://maps.amsterdam.nl/monumentaal_groen,MONUMENTALE_BOMEN,PointDS,ObjectDS,0.99,"The layer consists of point features marking individual monumental trees with unique identifiers and descriptive attributes, so it is a point dataset of identifiable real-world objects.",
Monumenten,Monuments,https://maps.amsterdam.nl/open_geodata/?k=155,https://maps.amsterdam.nl/monumenten,MONUMENTEN,PointDS,ObjectDS,0.99,"The layer is a FeatureCollection of Point geometries representing individual monuments with names, status, monument numbers, and addresses, so these are identifiable real-world objects.",
Muurplanten,Quay wall plants,https://maps.amsterdam.nl/open_geodata/?k=106,https://maps.amsterdam.nl/muurplanten,MUURPLANTEN,PointDS,ObjectDS,0.96,"The layer is a FeatureCollection of Point geometries. Each point marks a specific quay wall plant occurrence/species record at a named Amsterdam location, making it a countable real-world object rather than a measurement or event.",
NO2 metingen 4-weken,NO2 measurements 4 weeks,https://maps.amsterdam.nl/open_geodata/?k=331,https://maps.amsterdam.nl/no2,NO2_4WEKEN,VectorTessellation,LatticeDS,0.95,"The layer contains MultiPolygon regions that form a complete mapped field of administrative units, each carrying NO2 measurement values over time. This fits a tessellated reporting-unit dataset with measured values, best classified as LatticeDS.",
NO2 metingen locaties,NO2 measurements locations,https://maps.amsterdam.nl/open_geodata/?k=308,https://maps.amsterdam.nl/no2,NO2_LOCATIES,PointDS,ObjectDS,0.98,"The layer consists of 302 point features marking NO2 measurement locations. Each point is a distinct monitoring site with an identity/code and location name, so it best fits ObjectDS.",
Oergeul,Primeval gulch,https://maps.amsterdam.nl/open_geodata/?k=242,https://maps.amsterdam.nl/oergeul,OERGEUL,PlainVectorRegion,PatchDS,0.84,"The layer contains Polygon regions with a small categorical field (Categorie 1/2), suggesting bounded designated areas rather than a full tessellation or measured field.",
Oergeul - sonderingen,Primeval gulch - soundings,https://maps.amsterdam.nl/open_geodata/?k=243,https://maps.amsterdam.nl/oergeul,OERGEUL_SONDERINGEN,PointDS,PointMeasuresDS,0.96,"The layer consists entirely of point features representing borehole/sounding locations. Attributes like Top_Pleistoceen and Maaiveld_hoogte are measured subsurface values at each point, so this is point-based measurement data.",
Ontwikkelbuurten,Development neighbourhoods,https://maps.amsterdam.nl/open_geodata/?k=279,https://maps.amsterdam.nl/ontwikkelbuurten,ONTWIKKELBUURTEN,PlainVectorRegion,PatchDS,0.96,"The layer is a GeoJSON FeatureCollection of Polygon areas labeled as development neighborhoods, which are bounded designated areas rather than a full categorical tessellation. That fits PlainVectorRegion + PatchDS.",
Openbare toiletten,Public toilets,https://maps.amsterdam.nl/open_geodata/?k=240,https://maps.amsterdam.nl/openbare_toiletten,OPENBARE_TOILETTEN,PointDS,ObjectDS,0.99,"The layer contains 206 Point features marking individual public toilet locations with identifying attributes like type, opening hours, and address notes, so it is a point dataset of distinct real-world objects.",
Overnachtingsbeleid,Overnight policy,https://maps.amsterdam.nl/open_geodata/?k=227,https://maps.amsterdam.nl/overnachtingsbeleid,OVERNACHTINGSBELEID,PlainVectorRegion,PatchDS,0.89,"The layer consists of Polygon neighborhood/area features, and the attributes describe policy conditions for whether overnight/hotel development is allowed in selected areas. This is a bounded area selection rather than a full categorical tessellation or reporting lattice.",
Parkeernormen Auto,Parking standards Cars,https://maps.amsterdam.nl/open_geodata/?k=239,https://maps.amsterdam.nl/parkeernormen,PARKEERNORMEN,PlainVectorRegion,CoverageDS,0.93,"The layer contains polygon regions with categorical parking standard classes (A/B/C), indicating a homogeneous area coverage map rather than individual objects or measurements.",
"Parken, plantsoenen en recreatief groen",City parks en public green,https://maps.amsterdam.nl/open_geodata/?k=99,https://maps.amsterdam.nl/stadsparken,PARKPLANTSOENGROEN,PlainVectorRegion,PatchDS,0.96,"The layer contains Polygon/MultiPolygon park areas with names and area measurements. These are bounded green-space patches rather than a full tessellated field or reporting units, so PlainVectorRegion + PatchDS fits best.",
Postcode4-buurten,Zipcode4 shapes,https://maps.amsterdam.nl/open_geodata/?k=192,https://maps.amsterdam.nl/postcode,PC4_BUURTEN,VectorTessellation,LatticeDS,0.96,"The layer consists of polygon/multipolygon postcode areas that tessellate the city, and each region carries an aggregated area attribute (Opp_m2) tied to reporting units like postal zones.",
Postcode4-buurten excl. water,Zipcode4 shapes excl. water,https://maps.amsterdam.nl/open_geodata/?k=193,https://maps.amsterdam.nl/postcode,PC4_BUURTEN_EXWATER,PlainVectorRegion,LatticeDS,0.98,"The layer contains Polygon/MultiPolygon postcode areas, so it is region geometry. Each feature is a reporting unit (postcode4) with an area value, matching aggregated spatial units rather than a categorical coverage field.",
Postcode6-vlakken BAG,Zipcode6 shapes,https://maps.amsterdam.nl/open_geodata/?k=191,https://maps.amsterdam.nl/postcode,PC6_VLAKKEN_BAG,PlainVectorRegion,ObjectDS,0.92,"The layer contains Polygon/MultiPolygon area geometries for individual postcode-6 shapes. These are identifiable bounded spatial units with names/codes, so they fit region geometry and object-like entities.",
Plusnetten en Hoofdnetten,Plus and Main networks infrastructure,https://maps.amsterdam.nl/open_geodata/?k=233,https://maps.amsterdam.nl/plushoofdnetten,PLUSHOOFDNETTEN,LineDS,ObjectDS,0.94,"The layer consists of LineString features representing named infrastructure segments/roads in the plus and main transport network, so the geometry is line-based and the features are identifiable real-world objects rather than measurements or events.",
Plusnetten Voetgangersgebied,Plusnetworks pedestrians,https://maps.amsterdam.nl/open_geodata/?k=84,https://maps.amsterdam.nl/plushoofdnetten,PLUSHOOFDNETTEN_VOETGEBIED,PlainVectorRegion,PatchDS,0.92,"The layer consists of polygon/multipolygon regions marking pedestrian areas, with categorical labels like Park and Plein. These are bounded designated areas, not a full tessellation or reporting grid.",
Privacy - Masten,Privacy - Masts,https://maps.amsterdam.nl/open_geodata/?k=304,https://maps.amsterdam.nl/privacy,PRIVACY_AISMASTEN,PointDS,ObjectDS,0.98,"The layer contains point features with named locations (e.g., bridges, sluices, buildings/masts), so it represents identifiable real-world objects.",
Privacy - Overig,Privacy - Other,https://maps.amsterdam.nl/open_geodata/?k=306,https://maps.amsterdam.nl/privacy,PRIVACY_OVERIG,PointDS,ObjectDS,0.98,"The layer contains point features, and each point appears to mark a specific privacy-related item/project or investigation location, best treated as discrete objects.",
Privacy - Wagenparkscan,Privacy - Car fleet scan,https://maps.amsterdam.nl/open_geodata/?k=305,https://maps.amsterdam.nl/privacy,PRIVACY_WAGENPARKSCAN,PointDS,ObjectDS,0.97,"The layer contains 7 point features marking named scan locations/addresses for car fleet privacy measurements, so it is point geometry and each point is a distinct real-world object/location.",
Verkiezingen Provinciale Staten 2019,Elections Provinces 2019,https://maps.amsterdam.nl/open_geodata/?k=280,https://maps.amsterdam.nl/provincialestaten2019,PS19,PointDS,PointMeasuresDS,0.97,"The layer contains Point geometries for 750 voting locations/stemlocaties. The attributes are numeric election results and percentages measured at each point, so this is point-based measurement data rather than discrete objects or events.",
Rainproof - Hoog grondwater,Rainproof - High groundwater,https://maps.amsterdam.nl/open_geodata/?k=290,https://maps.amsterdam.nl/rainproof,RAINPROOF_DRAINAGE,PlainVectorRegion,ExistenceDS,0.93,"The layer consists of polygon regions for Amsterdam locations, and the attribute 'Drainage' is a categorical yes/no-style indication ('Mogelijk'/'Niet mogelijk') of whether drainage is possible, so it best fits presence/absence over bounded areas.",
Rainproof - Hydro-eenheden,Rainproof - Hydro units,https://maps.amsterdam.nl/open_geodata/?k=289,https://maps.amsterdam.nl/rainproof,RAINPROOF_HYDRO_EENHEDEN,PlainVectorRegion,PatchDS,0.92,"The layer contains polygon/multipolygon areas for 67 hydro units, each a bounded named area with an ID and linked solution documents. This fits region geometry and best matches bounded patch-like areas rather than a full categorical field or reporting lattice.",
Rainproof - Knelpunten,Rainproof - Bottlenecks,https://maps.amsterdam.nl/open_geodata/?k=288,https://maps.amsterdam.nl/rainproof,RAINPROOF_KNELPUNTEN,PlainVectorRegion,PatchDS,0.94,"The layer consists of polygon regions marking rainproof bottleneck areas. These are bounded selected areas with descriptive urgency labels, not a complete categorical tessellation or reporting units.",
Rainproof - Polderriool,Rainproof - Polder sewerage,https://maps.amsterdam.nl/open_geodata/?k=291,https://maps.amsterdam.nl/rainproof,RAINPROOF_POLDERRIOOL,PlainVectorRegion,PatchDS,0.91,"The layer consists of polygon/multipolygon areas with named locations, indicating bounded area features rather than points or lines. The polygons appear to mark specific rainproof sewerage sites/patches, not a full tessellated field or reporting lattice.",
Religie,Religion,https://maps.amsterdam.nl/open_geodata/?k=314,https://maps.amsterdam.nl/religie,RELIGIE,PointDS,ObjectDS,0.99,"The layer contains point features for 319 religious locations/buildings in Amsterdam, each representing a distinct identifiable real-world place (e.g., churches, mosques, temples) with names and addresses.",
Voetpaden breedte,Sidewalks width,https://maps.amsterdam.nl/open_geodata/?k=299,https://maps.amsterdam.nl/sidewalks,SIDEWALKS,LineDS,ObjectDS,0.89,"The layer consists of LineString features representing sidewalk segments with IDs, street names, widths, and situation attributes. These are bounded linear infrastructure objects rather than measurements along a field or events.",
Snorfiets naar de rijbaan,Mopeds on the roadway,https://maps.amsterdam.nl/open_geodata/?k=265,https://maps.amsterdam.nl/snorfietsnaarrijbaan,SNORFIETSLIJNEN,LineDS,ObjectDS,0.97,"The layer consists entirely of LineString features representing road segments/locations where mopeds are directed onto the roadway, so it is line geometry for identifiable bounded street objects rather than measurements or flows.",
Openbare Sportplekken,Public playgrounds,https://maps.amsterdam.nl/open_geodata/?k=56,https://maps.amsterdam.nl/sport,SPORT_OPENBAAR,PointDS,ObjectDS,0.98,"The layer contains 818 Point features marking individual public playground/sport facilities with unique names and descriptive attributes, so it is a set of identifiable real-world objects.",
