OBJECTNUMMER;Soortcode;BFA_nummer;BFA_type;Standplaats;Jaar_aanleg;Venstertijden;Toegangssysteem;Camera;Beheerorganisatie;Bijzonderheden;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
11;"183";"VO76";"RC600C";"Daguerrestraat Joris evensplein IJburg";2016;"00.00-7.00/9.30-10.30/12.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.991551,52.358365)";"POINT(52.358365,4.991551)";4.991551;52.358365;
12;"183";"VO74";"RC600C";"G. Oeverzeggestraat IJburg";2015;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.987755,52.3576297)";"POINT(52.3576297,4.987755)";4.987755;52.3576297;
13;"183";"VC1";"RC660C";"Nieuwendijk/Singel uit";0;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.894719,52.378827)";"POINT(52.378827,4.894719)";4.894719;52.378827;
14;"183";"VC2";"RC600";"Nieuwendijk/Martelaarsgracht in";0;"00.00-7.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.895874,52.377897)";"POINT(52.377897,4.895874)";4.895874;52.377897;
15;"183";"VC95";"ATM";"Nieuwendijk inrit Martelaarsgracht";0;"";"Anders";"Regellicht";"V&OR VIS";"Dubbele pollers Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8960854,52.377702)";"POINT(52.377702,4.8960854)";4.8960854;52.377702;
16;"183";"VW96";"RC600C";"Polanceaukade ";0;"";"Intercom";"Regellicht";"V&OR VIS";"voormalige installatie Herengracht  Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8749597,52.3859689)";"POINT(52.3859689,4.8749597)";4.8749597;52.3859689;
17;"183";"VC5";"RC600C";"Singel/Heisteeg in";0;"Ma-Za 00.00-24.00/Zo 00.00-9.00, 9.30-10.30, 11.00-24.00";"Anders";"Kenteken - Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.887712,52.368489)";"POINT(52.368489,4.887712)";4.887712;52.368489;
18;"183";"VC6";"RC600";"Singel oost/Blauwburgwal";0;"00.00-24.00";"Anders";"Kenteken - Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8916185,52.3762519)";"POINT(52.3762519,4.8916185)";4.8916185;52.3762519;
19;"183";"VC8";"RC600";"Warmoesstraat/Nieuwe Brugsteeg uit";0;"00.00-7.00/12.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Dubbele pollers Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8995632,52.3761975)";"POINT(52.3761975,4.8995632)";4.8995632;52.3761975;
20;"183";"VC9 ";"RC600";"Lange Niezel/Oudezijds v.b. wal uit";0;"00.00-7.00/12.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8991323,52.3748231)";"POINT(52.3748231,4.8991323)";4.8991323;52.3748231;
21;"183";"VC10";"RC600";"Oudekerksplein/Oudezijds v.b. wal uit";0;"00.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Dubbele pollers. Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.898076,52.374014)";"POINT(52.374014,4.898076)";4.898076;52.374014;
22;"183";"VC11";"RC600";"Warmoesstraat/Papenbrugsteeg in";0;"00.00-7.00/12.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.895744,52.37378)";"POINT(52.37378,4.895744)";4.895744;52.37378;
23;"183";"VC12";"RC600";"Oudebrugsteeg/Beursstraat uit";0;"00.00-7.00/12.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.897444,52.375378)";"POINT(52.375378,4.897444)";4.897444;52.375378;
24;"183";"VC13";"RC600";"Nieuwe Brugsteeg/ P. Hendrikkade in";0;"00.00-7.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8992659,52.3764894)";"POINT(52.3764894,4.8992659)";4.8992659;52.3764894;
25;"183";"VC15";"RC660C";"Korte Stormsteeg/Zeedijk uit";0;"00.00-7.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.9004714,52.374402)";"POINT(52.374402,4.9004714)";4.9004714;52.374402;
26;"183";"VC16";"RC600";"Monninkenstraat/Nieuwmarkt in/uit";0;"00.00-7.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.9000196,52.3730344)";"POINT(52.3730344,4.9000196)";4.9000196;52.3730344;
27;"183";"VC17";"RC600";"Bloedstraat/Nieuwmarkt in/uit";0;"00.00-6.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.8998336,52.3727732)";"POINT(52.3727732,4.8998336)";4.8998336;52.3727732;
28;"183";"VC18";"RC600";"Barndesteeg/Kloveniersburgwal in/uit";0;"00.00-7.00/11.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.899399,52.3721856)";"POINT(52.3721856,4.899399)";4.899399;52.3721856;
29;"183";"VC20";"RC600";"Oudezijds a.b.wal/Oude Doelenstr in";0;"00.00-7.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.897017,52.371476)";"POINT(52.371476,4.897017)";4.897017;52.371476;
30;"183";"VC21";"RC600";"Oudezijds a.b.wal/Oude Doelenstr uit";0;"00.00-7.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.896898,52.371619)";"POINT(52.371619,4.896898)";4.896898;52.371619;
31;"183";"VC22";"RC600";"Oudezijds v.b.wal/ Oude Doelenstr in";0;"00.00-7.00/20.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.896117,52.371849)";"POINT(52.371849,4.896117)";4.896117;52.371849;
32;"183";"VC23";"RC600";"Oudezijds=>Damstraat=>Amstel";0;"";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.895807,52.372019)";"POINT(52.372019,4.895807)";4.895807;52.372019;
33;"183";"VC24";"RC660C";"Zeedijk/Nieuwmarkt in";0;"Ma 00.00-7.00/Wo 18.00-24.00/Do-Zo 00.00-7.00/18.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Dubbele pollers. Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.900259,52.373089)";"POINT(52.373089,4.900259)";4.900259;52.373089;
34;"183";"VC25";"RC660C";"Zeedijk/Stormsteeg richting Stormsteeg uit";0;"Ma 00.00-7.00/Wo 18.00-24.00/Do-Zo 00.00-7.00/18.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Dubbele pollers Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.900481,52.37433)";"POINT(52.37433,4.900481)";4.900481;52.37433;
35;"183";"VC26";"RC660C";"Zeedijk/Stormsteeg richting P. Hendrik uit";0;"Ma 00.00-7.00/Wo 18.00-24.00/Do-Zo 00.00-7.00/18.00-24.00";"Anders";"Regellicht";"V&OR VIS";"Dubbele pollers Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.9005712,52.3744423)";"POINT(52.3744423,4.9005712)";4.9005712;52.3744423;
36;"183";"VC27";"RC600";"Stormsteeg/Geldersekade in/uit";0;"Ma 00.00-7.00/Wo 18.00-24.00/Do-Zo 00.00-7.00/18.00-24.00";"Anders";"Kenteken - Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.9009086,52.3742756)";"POINT(52.3742756,4.9009086)";4.9009086;52.3742756;
37;"183";"VC28";"RC660C";"Zeedijk/Olafsteeg richting P. hendrik uit";0;"Ma 00.00-7.00/Wo 18.00-24.00/Do-Zo 00.00-7.00/18.00-24.00";"Anders";"Kenteken - Regellicht";"V&OR VIS";"Dubbele pollers Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.900033,52.376314)";"POINT(52.376314,4.900033)";4.900033;52.376314;
39;"183";"VC30";"RC600";"Rusland";2018;"Do 22.00-24.00/Vr-Za 00.00-6.00/22.00-24.00/Zo 00.00-6.00";"Anders";"Regellicht";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam";"POINT(4.896033,52.370159)";"POINT(52.370159,4.896033)";4.896033;52.370159;
40;"183";"VC39";"";"Cruquiskade in/uit";0;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.931549,52.367596)";"POINT(52.367596,4.931549)";4.931549;52.367596;
41;"183";"VC40";"RC600C";"Kraijenhoffstraat in/uit";2011;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.930193,52.369595)";"POINT(52.369595,4.930193)";4.930193;52.369595;
42;"183";"VC41";"RC600C";"2e leeghwaterstraat in/uit ";2011;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.930981,52.370002)";"POINT(52.370002,4.930981)";4.930981;52.370002;
43;"183";"VC42";"RC600C";"Wollantstraat in/uit";2011;"00.00-24.00";"Anders";"";"V&OR VIS";"Bij calamiteiten bellen: Niet urgente meldingen m.b.t. schade- storing m.b.t. slagboom of pollers (vezips): meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl Urgent tijdens kantoortijden: 075-6553055 Urgent buiten kantoortijden: 075-6315112 (w.o. weekend en feestdagen) Telefonische meldingen graag via email bevestigen aan: meldingvkt@erdi.nl, cc aan vezips@amsterdam.nl ";"POINT(4.932518,52.370476)";"POINT(52.370476,4.932518)";4.932518;52.370476;
44;"183";"Niet in beheer V&OR";"";"Nieuwe Keizersgracht/Weesperstraat";0;"";"Anders";"";"Hermitage";"Niet in beheer V&OR";"POINT(4.904984,52.365289)";"POINT(52.365289,4.904984)";4.904984;52.365289;
45;"183";"Niet in beheer V&OR";"";"Nieuwe Keizersgracht/Amstel";0;"";"Anders";"Toezicht";"Hermitage";"Niet in beheer V&OR";"POINT(4.9026443,52.3648083)";"POINT(52.3648083,4.9026443)";4.9026443;52.3648083;
